,,,VC01,VC01,VC01,VC01,VC01,VC01,VC02,VC02,VC02,VC02,VC02,VC02,VC03,VC03,VC03,VC03,VC03,VC03,VC04,VC04,VC04,VC04,VC04,VC04,VC05,VC05,VC05,VC05,VC05,VC05,VC07,VC07,VC07,VC07,VC07,VC07,VC08,VC08,VC08,VC08,VC08,VC08,VC09,VC09,VC09,VC09,VC09,VC09,VC10,VC10,VC10,VC10,VC10,VC10,VC11,VC11,VC11,VC11,VC11,VC11,VC12,VC12,VC12,VC12,VC12,VC12,VC13,VC13,VC13,VC13,VC13,VC13,VC14,VC14,VC14,VC14,VC14,VC14,VC16,VC16,VC16,VC16,VC16,VC16,VC17,VC17,VC17,VC17,VC17,VC17,VC19,VC19,VC19,VC19,VC19,VC19,VC20,VC20,VC20,VC20,VC20,VC20,VC21,VC21,VC21,VC21,VC21,VC21,VC23,VC23,VC23,VC23,VC23,VC23,VC24,VC24,VC24,VC24,VC24,VC24,VC25,VC25,VC25,VC25,VC25,VC25,VC27,VC27,VC27,VC27,VC27,VC27,VC28,VC28,VC28,VC28,VC28,VC28,VC29,VC29,VC29,VC29,VC29,VC29,VC31,VC31,VC31,VC31,VC31,VC31,VC32,VC32,VC32,VC32,VC32,VC32,VC33,VC33,VC33,VC33,VC33,VC33,VC37,VC37,VC37,VC37,VC37,VC37,VC38,VC38,VC38,VC38,VC38,VC38,VC39,VC39,VC39,VC39,VC39,VC39,VC40,VC40,VC40,VC40,VC40,VC40,VC44,VC44,VC44,VC44,VC44,VC44,VC45,VC45,VC45,VC45,VC45,VC45,VC46,VC46,VC46,VC46,VC46,VC46,VC47,VC47,VC47,VC47,VC47,VC47,VC48,VC48,VC48,VC48,VC48,VC48,VC49,VC49,VC49,VC49,VC49,VC49,VC52,VC52,VC52,VC52,VC52,VC52
,,,Population 18 to 24 years,Population 18 to 24 years,Population 18 to 24 years,Population 18 to 24 years,Population 18 to 24 years,Population 18 to 24 years,Less than high school graduate,Less than high school graduate,Less than high school graduate,Less than high school graduate,Less than high school graduate,Less than high school graduate,High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),Some college or associate's degree,Some college or associate's degree,Some college or associate's degree,Some college or associate's degree,Some college or associate's degree,Some college or associate's degree,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Population 25 years and over,Population 25 years and over,Population 25 years and over,Population 25 years and over,Population 25 years and over,Population 25 years and over,Less than 9th grade,Less than 9th grade,Less than 9th grade,Less than 9th grade,Less than 9th grade,Less than 9th grade,"9th to 12th grade, no diploma","9th to 12th grade, no diploma","9th to 12th grade, no diploma","9th to 12th grade, no diploma","9th to 12th grade, no diploma","9th to 12th grade, no diploma",High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),"Some college, no degree","Some college, no degree","Some college, no degree","Some college, no degree","Some college, no degree","Some college, no degree",Associate's degree,Associate's degree,Associate's degree,Associate's degree,Associate's degree,Associate's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Graduate or professional degree,Graduate or professional degree,Graduate or professional degree,Graduate or professional degree,Graduate or professional degree,Graduate or professional degree,Percent high school graduate or higher,Percent high school graduate or higher,Percent high school graduate or higher,Percent high school graduate or higher,Percent high school graduate or higher,Percent high school graduate or higher,Percent bachelor's degree or higher,Percent bachelor's degree or higher,Percent bachelor's degree or higher,Percent bachelor's degree or higher,Percent bachelor's degree or higher,Percent bachelor's degree or higher,Population 25 to 34 years,Population 25 to 34 years,Population 25 to 34 years,Population 25 to 34 years,Population 25 to 34 years,Population 25 to 34 years,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Population 35 to 44 years,Population 35 to 44 years,Population 35 to 44 years,Population 35 to 44 years,Population 35 to 44 years,Population 35 to 44 years,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Population 45 to 64 years,Population 45 to 64 years,Population 45 to 64 years,Population 45 to 64 years,Population 45 to 64 years,Population 45 to 64 years,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Population 65 years and over,Population 65 years and over,Population 65 years and over,Population 65 years and over,Population 65 years and over,Population 65 years and over,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,High school graduate or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),PERCENT IMPUTED,PERCENT IMPUTED,PERCENT IMPUTED,PERCENT IMPUTED,PERCENT IMPUTED,PERCENT IMPUTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than high school graduate,Less than high school graduate,Less than high school graduate,Less than high school graduate,Less than high school graduate,Less than high school graduate,High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),High school graduate (includes equivalency),Some college or associate's degree,Some college or associate's degree,Some college or associate's degree,Some college or associate's degree,Some college or associate's degree,Some college or associate's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Graduate or professional degree,Graduate or professional degree,Graduate or professional degree,Graduate or professional degree,Graduate or professional degree,Graduate or professional degree,Educational attainment,Educational attainment,Educational attainment,Educational attainment,Educational attainment,Educational attainment
