Crimes and Clearances by Offense Type,,,,
Current date: 12/3/2011 5:11:38 PM (Central Standard Time),,,,
,Type of Weapon/Force Involved,Handguns,,
,Measures,Number of Crimes,Estimated Population,"Crime Rate (per 1,000)"
Jurisdiction,Incident Date,,,
Anderson,2001,78,"71,323",1.09
Anderson,2002,101,"71,354",1.42
Anderson,2003,113,"71,382",1.58
Anderson,2004,113,"71,338",1.58
Anderson,2005,104,"71,747",1.45
Anderson,2006,89,"72,810",1.22
Anderson,2007,148,"73,322",2.02
Anderson,2008,94,"74,169",1.27
Anderson,2009,83,"74,849",1.11
Anderson,2010,92,"75,129",1.22
Blount,2001,149,"107,929",1.38
Blount,2002,126,"109,512",1.15
Blount,2003,123,"111,091",1.11
Blount,2004,126,"113,051",1.11
Blount,2005,103,"115,174",0.89
Blount,2006,148,"118,037",1.25
Blount,2007,134,"119,828",1.12
Blount,2008,97,"121,511",0.8
Blount,2009,94,"122,784",0.77
Blount,2010,114,"123,010",0.93
Bradley,2001,129,"88,859",1.45
Bradley,2002,108,"89,557",1.21
Bradley,2003,114,"90,089",1.27
Bradley,2004,124,"91,162",1.36
Bradley,2005,149,"92,264",1.61
Bradley,2006,109,"93,804",1.16
Bradley,2007,167,"95,497",1.75
Bradley,2008,94,"96,472",0.97
Bradley,2009,138,"97,710",1.41
Bradley,2010,105,"98,963",1.06
Campbell,2001,33,"39,805",0.83
Campbell,2002,50,"39,839",1.26
Campbell,2003,75,"39,960",1.88
Campbell,2004,51,"40,387",1.26
Campbell,2005,53,"40,412",1.31
Campbell,2006,44,"40,505",1.09
Campbell,2007,61,"40,562",1.5
Campbell,2008,60,"40,936",1.47
Campbell,2009,70,"40,970",1.71
Campbell,2010,37,"40,716",0.91
Carter,2001,32,"56,875",0.56
Carter,2002,36,"56,830",0.63
Carter,2003,55,"58,260",0.94
Carter,2004,35,"58,412",0.6
Carter,2005,45,"58,666",0.77
Carter,2006,39,"58,956",0.66
Carter,2007,28,"58,938",0.48
Carter,2008,33,"59,492",0.55
Carter,2009,36,"59,043",0.61
Carter,2010,39,"57,424",0.68
Claiborne,2001,30,"30,108",1
Claiborne,2002,28,"30,038",0.93
Claiborne,2003,38,"30,338",1.25
Claiborne,2004,51,"30,555",1.67
Claiborne,2005,40,"30,806",1.3
Claiborne,2006,31,"30,964",1
Claiborne,2007,49,"31,105",1.58
Claiborne,2008,53,"31,461",1.68
Claiborne,2009,60,"31,243",1.92
Claiborne,2010,55,"32,213",1.71
Cocke,2001,49,"33,670",1.46
Cocke,2002,52,"33,982",1.53
Cocke,2003,33,"34,287",0.96
Cocke,2004,56,"34,455",1.63
Cocke,2005,61,"34,708",1.76
Cocke,2006,36,"35,079",1.03
Cocke,2007,48,"35,393",1.36
Cocke,2008,60,"35,688",1.68
Cocke,2009,83,"36,047",2.3
Cocke,2010,60,"35,662",1.68
Cumberland,2001,33,"47,694",0.69
Cumberland,2002,60,"48,597",1.23
Cumberland,2003,61,"49,090",1.24
Cumberland,2004,43,"49,888",0.86
Cumberland,2005,46,"50,859",0.9
Cumberland,2006,52,"52,263",0.99
Cumberland,2007,37,"53,264",0.69
Cumberland,2008,41,"53,590",0.77
Cumberland,2009,74,"54,109",1.37
Cumberland,2010,64,"56,053",1.14
Fentress,2001,22,"16,696",1.32
Fentress,2002,13,"16,818",0.77
Fentress,2003,27,"16,848",1.6
Fentress,2004,22,"16,846",1.31
Fentress,2005,18,"17,019",1.06
Fentress,2006,16,"17,334",0.92
Fentress,2007,23,"17,406",1.32
Fentress,2008,15,"17,667",0.85
Fentress,2009,21,"17,677",1.19
Fentress,2010,13,"17,959",0.72
Grainger,2001,33,"20,831",1.58
Grainger,2002,42,"21,077",1.99
Grainger,2003,24,"21,413",1.12
Grainger,2004,32,"21,702",1.47
Grainger,2005,24,"22,100",1.09
Grainger,2006,26,"22,438",1.16
Grainger,2007,19,"22,610",0.84
Grainger,2008,13,"22,708",0.57
Grainger,2009,18,"22,857",0.79
Grainger,2010,17,"22,657",0.75
Greene,2001,64,"63,272",1.01
Greene,2002,77,"63,426",1.21
Greene,2003,95,"63,665",1.49
Greene,2004,81,"64,159",1.26
Greene,2005,104,"64,874",1.6
Greene,2006,80,"65,391",1.22
Greene,2007,59,"65,855",0.9
Greene,2008,52,"66,157",0.79
Greene,2009,54,"66,282",0.81
Greene,2010,56,"68,831",0.81
Hamblen,2001,106,"58,778",1.8
Hamblen,2002,73,"58,395",1.25
Hamblen,2003,84,"58,738",1.43
Hamblen,2004,66,"59,278",1.11
Hamblen,2005,102,"60,115",1.7
Hamblen,2006,99,"60,875",1.63
Hamblen,2007,125,"61,950",2.02
Hamblen,2008,77,"62,132",1.24
Hamblen,2009,89,"63,033",1.41
Hamblen,2010,110,"62,544",1.76
Hamilton,2001,"1,314","311,628",4.22
Hamilton,2002,"1,029","314,524",3.27
Hamilton,2003,932,"316,875",2.94
Hamilton,2004,870,"319,905",2.72
Hamilton,2005,790,"323,740",2.44
Hamilton,2006,902,"328,551",2.75
Hamilton,2007,868,"331,117",2.62
Hamilton,2008,"1,028","332,848",3.09
Hamilton,2009,"1,126","337,175",3.34
Hamilton,2010,991,"336,463",2.95
Hancock,2001,5,"6,785",0.74
Hancock,2002,3,"6,748",0.44
Hancock,2003,1,"6,623",0.15
Hancock,2004,,"6,645",
Hancock,2005,3,"6,694",0.45
Hancock,2006,1,"6,599",0.15
Hancock,2007,4,"6,679",0.6
Hancock,2008,1,"6,693",0.15
Hancock,2009,,"6,588",
Hancock,2010,4,"6,819",0.59
Hawkins,2001,35,"54,147",0.65
Hawkins,2002,21,"54,505",0.39
Hawkins,2003,26,"55,002",0.47
Hawkins,2004,24,"55,381",0.43
Hawkins,2005,33,"55,967",0.59
Hawkins,2006,44,"56,552",0.78
Hawkins,2007,22,"57,025",0.39
Hawkins,2008,40,"57,477",0.7
Hawkins,2009,48,"57,784",0.83
Hawkins,2010,47,"56,833",0.83
Jefferson,2001,31,"45,166",0.69
Jefferson,2002,44,"45,737",0.96
Jefferson,2003,46,"46,702",0.98
Jefferson,2004,58,"47,274",1.23
Jefferson,2005,36,"47,889",0.75
Jefferson,2006,39,"49,229",0.79
Jefferson,2007,46,"50,419",0.91
Jefferson,2008,54,"51,074",1.06
Jefferson,2009,48,"51,722",0.93
Jefferson,2010,45,"51,407",0.88
Johnson,2001,23,"17,671",1.3
Johnson,2002,22,"17,720",1.24
Johnson,2003,15,"17,893",0.84
Johnson,2004,14,"17,917",0.78
Johnson,2005,15,"18,031",0.83
Johnson,2006,22,"17,922",1.23
Johnson,2007,18,"18,074",1
Johnson,2008,21,"18,112",1.16
Johnson,2009,12,"18,006",0.67
Johnson,2010,32,"18,244",1.75
Knox,2001,832,"387,819",2.15
Knox,2002,890,"392,935",2.27
Knox,2003,803,"399,091",2.01
Knox,2004,853,"403,432",2.11
Knox,2005,801,"409,530",1.96
Knox,2006,987,"417,230",2.37
Knox,2007,"1,020","424,716",2.4
Knox,2008,"1,110","430,019",2.58
Knox,2009,"1,050","435,725",2.41
Knox,2010,906,"432,226",2.1
Loudon,2001,30,"39,965",0.75
Loudon,2002,46,"40,741",1.13
Loudon,2003,36,"41,406",0.87
Loudon,2004,37,"42,139",0.88
Loudon,2005,39,"43,228",0.9
Loudon,2006,33,"44,363",0.74
Loudon,2007,39,"45,346",0.86
Loudon,2008,37,"46,445",0.8
Loudon,2009,42,"46,725",0.9
Loudon,2010,39,"48,556",0.8
McMinn,2001,132,"49,786",2.65
McMinn,2002,139,"50,052",2.78
McMinn,2003,96,"50,278",1.91
McMinn,2004,97,"50,498",1.92
McMinn,2005,155,"51,092",3.03
McMinn,2006,125,"51,753",2.42
McMinn,2007,120,"52,115",2.3
McMinn,2008,110,"52,511",2.09
McMinn,2009,104,"52,739",1.97
McMinn,2010,84,"52,266",1.61
Meigs,2001,1,"11,227",0.09
Meigs,2002,,"11,249",
Meigs,2003,7,"11,243",0.62
Meigs,2004,15,"11,381",1.32
Meigs,2005,13,"11,426",1.14
Meigs,2006,13,"11,565",1.12
Meigs,2007,21,"11,704",1.79
Meigs,2008,10,"11,790",0.85
Meigs,2009,28,"12,108",2.31
Meigs,2010,11,"11,753",0.94
Monroe,2001,79,"39,567",2
Monroe,2002,81,"40,234",2.01
Monroe,2003,94,"40,873",2.3
Monroe,2004,87,"41,871",2.08
Monroe,2005,78,"42,877",1.82
Monroe,2006,51,"43,820",1.16
Monroe,2007,41,"44,815",0.91
Monroe,2008,53,"45,648",1.16
Monroe,2009,46,"45,830",1
Monroe,2010,47,"44,519",1.06
Morgan,2001,4,"19,964",0.2
Morgan,2002,8,"19,994",0.4
Morgan,2003,14,"20,063",0.7
Morgan,2004,10,"20,020",0.5
Morgan,2005,6,"19,275",0.31
Morgan,2006,4,"19,306",0.21
Morgan,2007,8,"19,585",0.41
Morgan,2008,2,"20,404",0.1
Morgan,2009,10,"18,738",0.53
Morgan,2010,4,"21,987",0.18
Overton,2001,17,"20,181",0.84
Overton,2002,11,"20,210",0.54
Overton,2003,14,"20,060",0.7
Overton,2004,2,"20,358",0.1
Overton,2005,13,"20,440",0.64
Overton,2006,14,"20,718",0.68
Overton,2007,20,"20,943",0.95
Overton,2008,8,"20,975",0.38
Overton,2009,12,"21,060",0.57
Overton,2010,15,"22,083",0.68
Pickett,2001,,"4,961",
Pickett,2002,,"5,019",
Pickett,2003,1,"4,916",0.2
Pickett,2004,,"4,836",
Pickett,2005,1,"4,811",0.21
Pickett,2006,,"4,803",
Pickett,2007,,"4,791",
Pickett,2008,,"4,801",
Pickett,2009,1,"4,783",0.21
Pickett,2010,,"5,077",
Polk,2001,3,"16,218",0.18
Polk,2002,6,"16,007",0.37
Polk,2003,16,"15,967",1
Polk,2004,18,"15,777",1.14
Polk,2005,14,"15,749",0.89
Polk,2006,9,"15,780",0.57
Polk,2007,20,"15,726",1.27
Polk,2008,23,"15,671",1.47
Polk,2009,33,"15,648",2.11
Polk,2010,15,"16,825",0.89
Rhea,2001,20,"28,578",0.7
Rhea,2002,11,"28,829",0.38
Rhea,2003,16,"29,178",0.55
Rhea,2004,14,"29,358",0.48
Rhea,2005,18,"29,764",0.6
Rhea,2006,11,"30,249",0.36
Rhea,2007,11,"30,565",0.36
Rhea,2008,14,"30,781",0.45
Rhea,2009,22,"31,516",0.7
Rhea,2010,21,"31,809",0.66
Roane,2001,59,"52,044",1.13
Roane,2002,58,"52,094",1.11
Roane,2003,79,"52,404",1.51
Roane,2004,67,"52,624",1.27
Roane,2005,74,"52,556",1.41
Roane,2006,63,"53,084",1.19
Roane,2007,60,"53,309",1.13
Roane,2008,30,"53,430",0.56
Roane,2009,32,"53,508",0.6
Roane,2010,35,"54,181",0.65
Scott,2001,34,"21,450",1.59
Scott,2002,38,"21,532",1.76
Scott,2003,40,"21,460",1.86
Scott,2004,24,"21,546",1.11
Scott,2005,43,"21,681",1.98
Scott,2006,49,"21,820",2.25
Scott,2007,39,"21,948",1.78
Scott,2008,32,"22,039",1.45
Scott,2009,34,"21,866",1.55
Scott,2010,35,"22,228",1.57
Sevier,2001,54,"73,218",0.74
Sevier,2002,66,"74,398",0.89
Sevier,2003,68,"75,636",0.9
Sevier,2004,59,"77,311",0.76
Sevier,2005,64,"79,607",0.8
Sevier,2006,73,"82,075",0.89
Sevier,2007,86,"83,952",1.02
Sevier,2008,115,"84,835",1.36
Sevier,2009,105,"86,243",1.22
Sevier,2010,119,"89,889",1.32
Sullivan,2001,175,"152,421",1.15
Sullivan,2002,215,"152,605",1.41
Sullivan,2003,203,"152,392",1.33
Sullivan,2004,213,"151,601",1.41
Sullivan,2005,206,"151,974",1.36
Sullivan,2006,207,"152,505",1.36
Sullivan,2007,184,"153,500",1.2
Sullivan,2008,197,"153,900",1.28
Sullivan,2009,193,"154,552",1.25
Sullivan,2010,157,"156,823",1
Unicoi,2001,8,"17,559",0.46
Unicoi,2002,17,"17,612",0.97
Unicoi,2003,6,"17,687",0.34
Unicoi,2004,8,"17,633",0.45
Unicoi,2005,15,"17,558",0.85
Unicoi,2006,20,"17,693",1.13
Unicoi,2007,15,"17,702",0.85
Unicoi,2008,8,"17,718",0.45
Unicoi,2009,14,"17,740",0.79
Unicoi,2010,13,"18,313",0.71
Union,2001,16,"18,283",0.88
Union,2002,21,"18,402",1.14
Union,2003,16,"18,581",0.86
Union,2004,16,"18,570",0.86
Union,2005,13,"18,637",0.7
Union,2006,20,"18,787",1.06
Union,2007,20,"18,931",1.06
Union,2008,9,"19,008",0.47
Union,2009,23,"19,164",1.2
Union,2010,18,"19,109",0.94
Washington,2001,166,"107,651",1.54
Washington,2002,158,"109,294",1.45
Washington,2003,176,"110,172",1.6
Washington,2004,145,"111,133",1.3
Washington,2005,198,"112,664",1.76
Washington,2006,112,"114,895",0.97
Washington,2007,179,"116,717",1.53
Washington,2008,112,"118,639",0.94
Washington,2009,163,"120,598",1.35
Washington,2010,118,"122,979",0.96
Bedford,2001,64,"38,538",1.66
Bedford,2002,52,"39,185",1.33
Bedford,2003,46,"40,002",1.15
Bedford,2004,57,"40,981",1.39
Bedford,2005,60,"42,147",1.42
Bedford,2006,63,"43,444",1.45
Bedford,2007,56,"44,531",1.26
Bedford,2008,26,"44,696",0.58
Bedford,2009,52,"45,947",1.13
Bedford,2010,44,"45,058",0.98
Bledsoe,2001,11,"12,476",0.88
Bledsoe,2002,9,"12,457",0.72
Bledsoe,2003,14,"12,523",1.12
Bledsoe,2004,13,"12,634",1.03
Bledsoe,2005,8,"12,702",0.63
Bledsoe,2006,4,"12,867",0.31
Bledsoe,2007,10,"13,056",0.77
Bledsoe,2008,6,"13,142",0.46
Bledsoe,2009,9,"12,967",0.69
Bledsoe,2010,5,"12,876",0.39
Cannon,2001,17,"12,987",1.31
Cannon,2002,15,"12,961",1.16
Cannon,2003,18,"13,009",1.38
Cannon,2004,8,"13,103",0.61
Cannon,2005,8,"13,136",0.61
Cannon,2006,13,"13,266",0.98
Cannon,2007,8,"13,430",0.6
Cannon,2008,15,"13,804",1.09
Cannon,2009,11,"13,860",0.79
Cannon,2010,9,"13,801",0.65
Cheatham,2001,23,"36,551",0.63
Cheatham,2002,40,"36,940",1.08
Cheatham,2003,29,"37,166",0.78
Cheatham,2004,22,"37,580",0.59
Cheatham,2005,16,"38,037",0.42
Cheatham,2006,41,"38,615",1.06
Cheatham,2007,28,"39,148",0.72
Cheatham,2008,29,"39,396",0.74
Cheatham,2009,64,"39,876",1.6
Cheatham,2010,55,"39,105",1.41
Clay,2001,4,"7,938",0.5
Clay,2002,9,"7,945",1.13
Clay,2003,9,"7,927",1.14
Clay,2004,3,"7,966",0.38
Clay,2005,3,"7,973",0.38
Clay,2006,2,"7,997",0.25
Clay,2007,2,"7,923",0.25
Clay,2008,8,"7,794",1.03
Clay,2009,4,"7,895",0.51
Clay,2010,7,"7,861",0.89
Coffee,2001,54,"48,554",1.11
Coffee,2002,47,"49,013",0.96
Coffee,2003,47,"49,494",0.95
Coffee,2004,31,"49,930",0.62
Coffee,2005,36,"50,637",0.71
Coffee,2006,53,"51,400",1.03
Coffee,2007,42,"51,739",0.81
Coffee,2008,66,"52,134",1.27
Coffee,2009,68,"52,521",1.29
Coffee,2010,78,"52,796",1.48
Davidson,2001,"3,681","578,527",6.36
Davidson,2002,"3,563","581,978",6.12
Davidson,2003,"3,547","588,126",6.03
Davidson,2004,"3,530","596,961",5.91
Davidson,2005,"4,041","607,413",6.65
Davidson,2006,"4,029","614,609",6.56
Davidson,2007,"4,156","621,384",6.69
Davidson,2008,"4,127","626,144",6.59
Davidson,2009,"3,536","635,710",5.56
Davidson,2010,"3,204","626,681",5.11
DeKalb,2001,14,"17,533",0.8
DeKalb,2002,19,"17,734",1.07
DeKalb,2003,30,"17,952",1.67
DeKalb,2004,33,"18,147",1.82
DeKalb,2005,23,"18,257",1.26
DeKalb,2006,14,"18,423",0.76
DeKalb,2007,13,"18,588",0.7
DeKalb,2008,21,"18,694",1.12
DeKalb,2009,14,"18,954",0.74
DeKalb,2010,11,"18,723",0.59
Franklin,2001,80,"39,628",2.02
Franklin,2002,24,"39,964",0.6
Franklin,2003,52,"40,143",1.3
Franklin,2004,46,"40,354",1.14
Franklin,2005,39,"40,529",0.96
Franklin,2006,37,"40,888",0.9
Franklin,2007,25,"41,190",0.61
Franklin,2008,32,"41,165",0.78
Franklin,2009,28,"41,310",0.68
Franklin,2010,43,"41,052",1.05
Giles,2001,30,"29,559",1.01
Giles,2002,39,"29,365",1.33
Giles,2003,39,"29,126",1.34
Giles,2004,36,"29,048",1.24
Giles,2005,51,"29,054",1.76
Giles,2006,50,"29,054",1.72
Giles,2007,49,"29,011",1.69
Giles,2008,39,"29,184",1.34
Giles,2009,23,"29,082",0.79
Giles,2010,11,"29,485",0.37
Grundy,2001,21,"14,220",1.48
Grundy,2002,8,"14,256",0.56
Grundy,2003,18,"14,228",1.27
Grundy,2004,20,"14,310",1.4
Grundy,2005,12,"14,330",0.84
Grundy,2006,13,"14,295",0.91
Grundy,2007,13,"14,311",0.91
Grundy,2008,18,"14,220",1.27
Grundy,2009,15,"14,130",1.06
Grundy,2010,9,"13,703",0.66
Jackson,2001,7,"11,116",0.63
Jackson,2002,4,"11,092",0.36
Jackson,2003,9,"11,079",0.81
Jackson,2004,5,"11,069",0.45
Jackson,2005,11,"10,979",1
Jackson,2006,10,"10,841",0.92
Jackson,2007,3,"10,850",0.28
Jackson,2008,6,"10,847",0.55
Jackson,2009,3,"10,875",0.28
Jackson,2010,5,"11,638",0.43
Lincoln,2001,41,"31,564",1.3
Lincoln,2002,39,"31,616",1.23
Lincoln,2003,39,"31,746",1.23
Lincoln,2004,60,"31,765",1.89
Lincoln,2005,48,"32,121",1.49
Lincoln,2006,47,"32,434",1.45
Lincoln,2007,48,"32,733",1.47
Lincoln,2008,48,"33,116",1.45
Lincoln,2009,43,"33,374",1.29
Lincoln,2010,45,"33,361",1.35
Macon,2001,19,"20,811",0.91
Macon,2002,23,"20,771",1.11
